Icon,Date/Time,Description,"Event Type"
true,"2008-07-20 01:22:45","Sent from: alison@m57.biz <tuckgorge@gmail.com>Sent to: jean@m57.biz : Please send me the information now : Hi, Jean.

I'm sorry to bother you, but I really need that information now --- this VC guy is being very insistent.
Can you please reply to this em","Email Sent"
true,"2008-07-20 01:22:45","Message from: alison@m57.biz <tuckgorge@gmail.com> To: jean@m57.biz : Please send me the information now : Hi, Jean.

I'm sorry to bother you, but I really need that information now --- this VC guy is being very insistent.
Can you please reply to this em","Email Received"
true,"2008-07-20 01:26:14","RUNDLL32.EXE :  : Prefetch File","Program Run"
true,"2008-07-20 01:26:18","iCreate Technologies Corp. : Flash Disk 256 MB : 6&3855be95&0&1","Devices Attached"
true,"2008-07-20 01:27:40","EXCEL.EXE :  : Prefetch File","Program Run"
true,"2008-07-20 01:27:42","C:\Documents and Settings\Jean\Desktop\m57biz.xls","Recent Documents"
true,"2008-07-20 01:27:42","C:\Documents and Settings\Jean\Local Settings\Temp","Recent Documents"
true,"2008-07-20 01:28:00","Sent from: Jean User <jean@m57.biz>Sent to: alison@m57.biz : RE: Please send me the information now : I've attached the information that you have requested to this email message.


-----Original Message-----
From: alison@m57.biz [mailto:tuckgorge@g","Email Sent"
true,"2008-07-20 01:28:00","Message from: Jean User <jean@m57.biz> To: alison@m57.biz : RE: Please send me the information now : I've attached the information that you have requested to this email message.


-----Original Message-----
From: alison@m57.biz [mailto:tuckgorge@g","Email Received"
true,"2008-07-20 01:28:04","C:\Documents and Settings\Jean\Desktop","Recent Documents"
true,"2008-07-20 01:28:04","C:\Documents and Settings\Jean\Desktop\m57biz.xls","Recent Documents"
