"Source Name",Path,"Date Accessed","Data Source",Comment
web.lnk,"C:\Documents and Settings\Jo\Desktop\web","2009-11-23 21:55:46 UTC",jo-2009-11-24.E01,
Pics.lnk,"C:\Documents and Settings\Jo\Desktop\Pics","2009-11-23 18:24:51 UTC",jo-2009-11-24.E01,
HighQuality.lnk,"C:\Documents and Settings\Jo\Desktop\Pics\HighQuality","2009-11-24 22:14:30 UTC",jo-2009-11-24.E01,
patentauto.lnk,"C:\Documents and Settings\Jo\Desktop\web\patentauto.py","2009-11-23 21:55:45 UTC",jo-2009-11-24.E01,
diit-1.5.lnk,"C:\Documents and Settings\Jo\Desktop\Pics\diit-1.5.jar","2009-11-23 18:24:50 UTC",jo-2009-11-24.E01,
testHide.lnk,"C:\Documents and Settings\Jo\Desktop\Pics\testHide.bmp","2009-11-23 18:25:53 UTC",jo-2009-11-24.E01,
Downloads.lnk,"C:\Documents and Settings\Jo\My Documents\Downloads","2009-11-24 22:01:54 UTC",jo-2009-11-24.E01,
DSC00065.lnk,"C:\Documents and Settings\Jo\Desktop\Pics\HighQuality\DSC00065.JPG","2009-11-24 22:14:30 UTC",jo-2009-11-24.E01,
DSC00070.lnk,"C:\Documents and Settings\Jo\Desktop\Pics\HighQuality\DSC00070.JPG","2009-11-24 22:14:45 UTC",jo-2009-11-24.E01,
STU.lnk,"C:\Documents and Settings\Jo\My Documents\Downloads\STU.doc","2009-11-24 22:01:53 UTC",jo-2009-11-24.E01,
NTUSER.DAT,"C:\WINDOWS\system32\devmgmt.msc",,jo-2009-11-24.E01,"Recently opened according to Windows Management Console MRU"
