Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
clock.avi,"2008-04-14 12:00:00 UTC","2009-11-20 09:46:59 UTC","2009-11-20 09:40:51 UTC","2008-04-14 12:00:00 UTC",82944,Allocated,Allocated,unknown,"/img_jo-2009-11-24.E01/vol_vol2/WINDOWS/clock.avi",,,,avi
Cat.mov,"2009-11-20 09:25:26 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:25:27 UTC",5712046,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/Cat.mov","dfde414aa746b3fe801d25e779a4a750","ac54ee440152ba742eed83f96d0fdfbf04e2964ea7c69672da07270091525753",application/octet-stream,mov
._Cat.mov,"2009-11-20 13:31:48 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 13:31:48 UTC",4096,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/._Cat.mov","46af5d7b7054e445fcd15b06e5d43c1d","daf20f66c21b5e6e4237e632af18ae5250cd860cdfa586a198d0fda4fabc1926",application/octet-stream,mov
MontereyKittyHQ.m4v,"2009-11-20 09:00:00 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:00:01 UTC",25123154,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/MontereyKittyHQ.m4v","cc6901937bf3bb50a65b395c90005785","d6c108e702d917d954cfbfd48fcfb396ff44de34f75852a840d4a38c56a165f5",application/octet-stream,m4v
._MontereyKittyHQ.m4v,"2009-11-20 13:32:02 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 13:32:02 UTC",4096,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/._MontereyKittyHQ.m4v","d9622402dad9fb25cbeb2d7366175b6a","82ad2723d2cc6f25bd5ade61d170f970e9ca69c2b99d6384bd8b36d22179f40a",application/octet-stream,m4v
_IGGER~1.M4V,"2009-11-18 16:50:54 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-18 16:50:54 UTC",12536015,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/_IGGER~1.M4V","c99a74c555371a433d121f551d6c6398","e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad",application/octet-stream,m4v
._TiggerTheCat.m4v,"2009-11-20 13:35:28 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 13:35:29 UTC",4096,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/._TiggerTheCat.m4v","620f0b67a91f7f74151bc5be745b7110","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7",application/octet-stream,m4v
Cat.m4v,"2009-11-20 09:12:04 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:12:05 UTC",1077729,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/Cat.m4v","f1fdc5dc190abfbcedbe5a964cbff2d1","14f375e140138739c9e026314e2ae365382465c9ee0532589579b4b52224883f",application/octet-stream,m4v
._Cat.m4v,"2009-11-20 13:35:34 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 13:35:34 UTC",4096,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/._Cat.m4v","481d4cde44ad9c9ef1bad3f7a32c7adc","4ba0decf72595ce31de787eb427f8b341ef422896b44e94398a963815ae9c2a8",application/octet-stream,m4v
"TiggerTheCat copy.m4v","2009-11-18 16:50:54 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-18 16:50:55 UTC",12536015,Unallocated,Unallocated,unknown,"/img_jo-work-usb-2009-12-11.E01/vol_vol2/TiggerTheCat copy.m4v","9bd2dd0f202046eb032bdf46ba91fefa","e129b6e194cbefaba0b208208949be837bd64eb3560f8852409665acf8a3f084",application/octet-stream,m4v
