"Source Name",URL,"Date Accessed",Title,"Program Name",Domain,"Data Source","Referrer URL"
places.sqlite,"http://www.microsoft.com/isapi/redir.dll?prd=Win2000&ar=WinUpdate","2009-11-20 19:53:32 UTC",redir.dll,"FireFox Analyzer",microsoft.com,jo-2009-11-24.E01,
places.sqlite,"http://windowsupdate.microsoft.com/","2009-11-20 19:53:29 UTC","Microsoft Windows Update","FireFox Analyzer",microsoft.com,jo-2009-11-24.E01,"http://www.microsoft.com/isapi/redir.dll?prd=Win2000&ar=WinUpdate"
places.sqlite,"http://windowsupdate.microsoft.com/","2009-11-20 19:53:32 UTC","Microsoft Windows Update","FireFox Analyzer",microsoft.com,jo-2009-11-24.E01,
places.sqlite,"http://update.microsoft.com/windowsupdate/v6/thanks.aspx?ln=en&&thankspage=5","2009-11-20 19:53:32 UTC","Microsoft Windows Update","FireFox Analyzer",microsoft.com,jo-2009-11-24.E01,"http://windowsupdate.microsoft.com/"
places.sqlite,"http://update.microsoft.com/windowsupdate/v6/thanks.aspx?ln=en&&thankspage=5","2009-11-20 19:53:32 UTC","Microsoft Windows Update","FireFox Analyzer",microsoft.com,jo-2009-11-24.E01,"http://windowsupdate.microsoft.com/"
places.sqlite,"http://en-us.www.mozilla.com/en-US/firefox/3.5.5/firstrun/","2009-11-20 22:19:49 UTC","Welcome to Firefox","FireFox Analyzer",mozilla.com,jo-2009-11-24.E01,
places.sqlite,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-20 22:19:49 UTC",firefox,"FireFox Analyzer",mozilla.com,jo-2009-11-24.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-20 22:19:45 UTC","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-24.E01,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://www.webmail.m57.biz/","2009-11-20 22:20:14 UTC",www.webmail.m57.biz,"FireFox Analyzer",m57.biz,jo-2009-11-24.E01,
places.sqlite,"http://www.webmail.m57.biz/src/login.php","2009-11-20 22:20:11 UTC","SquirrelMail - Login","FireFox Analyzer",m57.biz,jo-2009-11-24.E01,"http://www.webmail.m57.biz/"
places.sqlite,"http://www.webmail.m57.biz/src/redirect.php","2009-11-20 22:20:26 UTC",redirect.php,"FireFox Analyzer",m57.biz,jo-2009-11-24.E01,"http://www.webmail.m57.biz/src/login.php"
places.sqlite,"http://www.webmail.m57.biz/src/webmail.php","2009-11-20 22:20:22 UTC","SquirrelMail 1.4.19","FireFox Analyzer",m57.biz,jo-2009-11-24.E01,"http://www.webmail.m57.biz/src/redirect.php"
places.sqlite,"http://www.webmail.m57.biz/src/signout.php","2009-11-20 22:30:25 UTC","SquirrelMail 1.4.19 - Signout","FireFox Analyzer",m57.biz,jo-2009-11-24.E01,
places.sqlite,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-23 18:10:10 UTC",firefox,"FireFox Analyzer",mozilla.com,jo-2009-11-24.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-23 18:10:06 UTC","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-24.E01,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-23 18:17:46 UTC",firefox,"FireFox Analyzer",mozilla.com,jo-2009-11-24.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-23 18:17:43 UTC","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-24.E01,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://www.google.com/search?client=firefox-a&rls=org.mozilla%3Aen-US%3Aofficial&channel=s&hl=en&source=hp&q=mozrepl&btnG=Google+Search","2009-11-23 18:17:55 UTC","mozrepl - Google Search","FireFox Analyzer",google.com,jo-2009-11-24.E01,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://wiki.github.com/bard/mozrepl","2009-11-23 18:17:55 UTC","Home - mozrepl - GitHub","FireFox Analyzer",github.com,jo-2009-11-24.E01,"http://www.google.com/search?client=firefox-a&rls=org.mozilla%3Aen-US%3Aofficial&channel=s&hl=en&source=hp&q=mozrepl&btnG=Google+Search"
places.sqlite,"http://www.google.com/search?q=python&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a","2009-11-23 18:20:00 UTC","python - Google Search","FireFox Analyzer",google.com,jo-2009-11-24.E01,
places.sqlite,http://www.python.org/,"2009-11-23 18:20:06 UTC","Python Programming Language -- Official Website","FireFox Analyzer",python.org,jo-2009-11-24.E01,"http://www.google.com/search?q=python&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a"
places.sqlite,"http://www.python.org/download/","2009-11-23 18:20:11 UTC","Download Python","FireFox Analyzer",python.org,jo-2009-11-24.E01,http://www.python.org/
places.sqlite,"http://www.python.org/ftp/python/2.6.4/python-2.6.4.msi","2009-11-23 18:20:12 UTC",python-2.6.4.msi,"FireFox Analyzer",python.org,jo-2009-11-24.E01,"http://www.python.org/download/"
places.sqlite,"http://www.google.com/search?q=cnn&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a","2009-11-23 18:22:31 UTC","cnn - Google Search","FireFox Analyzer",google.com,jo-2009-11-24.E01,
places.sqlite,http://www.cnn.com/,"2009-11-23 18:22:31 UTC","CNN.com - Breaking News, U.S., World, Weather, Entertainment & Video News","FireFox Analyzer",cnn.com,jo-2009-11-24.E01,"http://www.google.com/search?q=cnn&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a"
places.sqlite,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-23 21:50:48 UTC",firefox,"FireFox Analyzer",mozilla.com,jo-2009-11-24.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-23 21:50:45 UTC","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-24.E01,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-23 21:57:39 UTC","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-24.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-23 22:01:43 UTC","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-24.E01,
places.sqlite,"http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=2333091.2241637241&f=G&l=50&co1=AND&d=PTXT&s1=time&OS=time&RS=time","2009-11-23 22:02:28 UTC","United States Patent: 4428127","FireFox Analyzer",uspto.gov,jo-2009-11-24.E01,
