Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2009-11-20 09:25:58 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:25:59 UTC",4096,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/.",,,,
"[parent folder]","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4096,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/..",,,,
._Cat.m4v,"2009-11-20 09:26:50 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:26:50 UTC",4096,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/._Cat.m4v","bd5cfbc0dba01d874349cbd4b67c6d7f","23e9f493ecb15788bf1bc88d30a407ee4d6140bcf26613127e3453525fe1ac55",multipart/appledouble,m4v
._Cat.mov,"2009-11-20 09:26:54 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:26:54 UTC",4096,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/._Cat.mov","e625b59ee98d19af5e1acc38e66847f4","f6576a3e6c0ceb43047a306359c2edc0b746154e4ffc5fa08de680bbca28000d",multipart/appledouble,mov
._KittyMontage.mov,"2009-11-20 09:28:12 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:28:13 UTC",4096,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/._KittyMontage.mov","e625b59ee98d19af5e1acc38e66847f4","f6576a3e6c0ceb43047a306359c2edc0b746154e4ffc5fa08de680bbca28000d",multipart/appledouble,mov
._MontereyKitty.m4v,"2009-11-20 09:28:24 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:28:23 UTC",4096,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/._MontereyKitty.m4v","bd5cfbc0dba01d874349cbd4b67c6d7f","23e9f493ecb15788bf1bc88d30a407ee4d6140bcf26613127e3453525fe1ac55",multipart/appledouble,m4v
._MontereyKittyHQ.m4v,"2009-11-20 09:28:50 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:28:49 UTC",4096,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/._MontereyKittyHQ.m4v","bd5cfbc0dba01d874349cbd4b67c6d7f","23e9f493ecb15788bf1bc88d30a407ee4d6140bcf26613127e3453525fe1ac55",multipart/appledouble,m4v
._TiggerTheCat.m4v,"2009-11-20 09:29:04 UTC","0000-00-00 00:00:00","2009-11-20 00:00:00 UTC","2009-11-20 09:29:03 UTC",4096,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/._TiggerTheCat.m4v","bd5cfbc0dba01d874349cbd4b67c6d7f","23e9f493ecb15788bf1bc88d30a407ee4d6140bcf26613127e3453525fe1ac55",multipart/appledouble,m4v
Cat.m4v,"2009-11-20 09:12:04 UTC","0000-00-00 00:00:00","2009-11-24 00:00:00 UTC","2009-11-20 09:12:05 UTC",1077729,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/Cat.m4v","569136edd90a1abf74a858b9d822c134","0d0803ac35af6ea21f826e9ac7d14729c75618f5128636a5710277358c6462aa",video/x-m4v,m4v
Cat.mov,"2009-11-20 09:25:26 UTC","0000-00-00 00:00:00","2009-11-24 00:00:00 UTC","2009-11-20 09:25:27 UTC",5712046,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/Cat.mov","3bf06fd991c312bd852c5f7b84d78174","a310dd51c21f039dd391baff5861ade08bc6e9fa729377d2035988f07f586566",video/quicktime,mov
KittyMontage.mov,"2009-11-20 09:18:56 UTC","0000-00-00 00:00:00","2009-11-24 00:00:00 UTC","2009-11-20 09:18:55 UTC",112719059,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/KittyMontage.mov","7d4058485071e25d482fd18fb2ac58bd","b70e26c75a8fcbe1c820130cfe98b0aa32936ae360a15e6905acd8b5de101202",video/quicktime,mov
MontereyKitty.m4v,"2009-11-20 08:57:26 UTC","0000-00-00 00:00:00","2009-11-24 00:00:00 UTC","2009-11-20 08:57:26 UTC",10491444,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/MontereyKitty.m4v","fb422a6213606d4a2a5d7e471e75fb46","4e15d6a79f65a661b3e5dc7c060765e25fe9cc0808cfa3448fc63b72fb4bcea4",video/x-m4v,m4v
MontereyKittyHQ.m4v,"2009-11-20 09:00:00 UTC","0000-00-00 00:00:00","2009-11-24 00:00:00 UTC","2009-11-20 09:00:00 UTC",25123154,Allocated,Allocated,unknown,"/img_jo-favorites-usb-2009-12-11.E01/vol_vol2/Videos/MontereyKittyHQ.m4v","6d8481b35bbf65bd2580a267f2a04af5","8bfb8c5bb1e15353e8ff06623c4e3d50155782d7491c572a4086ba87120d88a3",video/x-m4v,m4v
